,movie_id,vote
378,2709122,5
379,2709217,18
380,2709280,32
381,2709376,582
382,2709522,5
383,2709539,20
384,2709568,129
385,2709569,20
386,2709599,1273
387,2709641,5
388,2709656,15
389,2709657,13
390,2709712,781
391,2709761,144
392,2709828,7
393,2709855,9
394,2709889,156
395,2710108,31
396,2710148,93
397,2710151,11
398,2710159,66
399,2710160,44
400,2710167,171
401,2710229,8
402,2710247,5
403,2710235,20
404,2710310,6
405,2710331,20
406,2710349,216
407,2710427,4194
408,2710438,12108
409,2710449,12
410,2710453,6
411,2710484,12
412,2710523,159255
413,2710553,204
414,2710556,26
415,2710573,230
416,2710574,175
417,2710578,14
418,2710585,8
419,2710597,13
420,2710654,54
421,2710656,14
422,2710710,13
423,2710743,57
424,2710768,17391
425,2710341,483
426,2710492,277
427,2710717,12
428,2710769,96
429,2710784,20
430,2710790,27
431,2710832,170
432,2710846,7
433,2710852,15
434,2710876,15
435,2710901,11
436,2710903,104
437,2710904,21
438,2710946,22
439,2710963,444
440,2710973,10
441,2710990,6
442,2711020,15
443,2711035,35
444,2711042,22
445,2711058,7
446,2711064,611
447,2711078,31
448,2710920,5836
449,2710949,16
450,2711090,8209
451,2711111,24
452,2711129,383
453,2711157,341
454,2711399,9
455,2711864,10
456,2711874,5
457,2711953,33
458,2711955,7
459,2711969,6
460,2711978,22
461,2711979,288
462,2711997,8
463,2712038,12
464,2712045,18
465,2712056,10
466,2712057,13
467,2712095,14
468,2712138,24
469,2712264,34
470,2712301,9153
471,2712342,17
472,2712352,6
473,2712353,38
474,2712356,1085
475,2712358,14
476,2712362,567
477,2712374,9
478,2712377,17
479,2712396,13
480,2712397,17
481,2712406,7
482,2712463,5
483,2712422,16
484,2712445,21
485,2712454,56
486,2712465,61322
487,2712472,7
488,2712476,12
489,2712483,80
490,2712491,50
491,2712497,145
492,2712522,414758
493,2712547,400
494,2712487,6
495,2712536,1526
496,2712552,8
497,2712557,22
498,2712558,12
499,2712571,13
500,2712636,8
501,2712646,1335
502,2712651,264459
503,2712674,420
504,2712691,12
505,2712714,30
506,2712717,24
507,2712741,1081
508,2712745,34
