,movie_id,rating
301,2707796,4.1
302,2707799,7.8
303,2707806,6.8
304,2707829,4.6
305,2707836,6.5
306,2707849,8.5
307,2707862,8.5
308,2707896,7.3
309,2707918,6.8
310,2707941,4.6
311,2707942,6.8
312,2707944,7.6
313,2707964,6.8
314,2707987,5.9
315,2707992,5.1
316,2707997,9.1
317,2708007,9.2
318,2708008,4.4
319,2708016,5.3
320,2708022,6.4
321,2708042,7.4
322,2708074,7.2
323,2708149,8.2
324,2708158,7.4
325,2708164,8.0
326,2708170,8.5
327,2708174,6.5
328,2708088,5.9
329,2708107,6.3
330,2708172,6.7
331,2708178,6.6
332,2708192,7.2
333,2708219,6.3
334,2708220,7.1
335,2708247,3.7
336,2708279,6.7
337,2708314,7.8
338,2708317,5.5
339,2708325,7.1
340,2708280,5.3
341,2708282,5.1
342,2708320,8.2
343,2708331,5.8
344,2708342,7.3
345,2708354,8.7
346,2708363,2.7
347,2708430,8.2
348,2708431,6.3
349,2708440,6.8
350,2708402,7.5
351,2708405,6.6
352,2708421,6.0
353,2708444,8.6
354,2708465,6.2
355,2708544,4.6
356,2708685,5.6
357,2708712,5.6
358,2708750,8.0
359,2708777,6.0
360,2708778,7.4
361,2708791,6.2
362,2708795,8.2
363,2708801,5.8
364,2708816,6.0
365,2708828,2.4
366,2708857,5.2
367,2708874,7.9
368,2708894,6.8
369,2708934,2.8
370,2708990,8.5
371,2709007,8.9
372,2709017,4.3
373,2709038,7.2
374,2709044,4.2
375,2709045,4.0
376,2709046,4.8
377,2709103,7.2
378,2709122,8.6
379,2709217,8.3
380,2709280,5.0
381,2709376,7.3
382,2709522,7.6
383,2709539,6.2
384,2709568,6.9
385,2709569,6.8
386,2709599,7.7
387,2709641,3.6
388,2709656,6.7
389,2709657,9.9
390,2709712,7.4
391,2709761,7.4
392,2709828,9.3
393,2709855,6.7
394,2709889,5.4
395,2710108,6.5
396,2710148,5.7
397,2710151,8.1
398,2710159,7.2
399,2710160,6.4
400,2710167,5.9
401,2710229,4.8
402,2710247,7.6
403,2710235,7.7
404,2710310,6.2
405,2710331,8.3
406,2710349,4.1
407,2710427,7.4
408,2710438,6.0
409,2710449,5.6
410,2710453,8.2
411,2710484,8.1
412,2710523,6.7
413,2710553,5.7
414,2710556,7.0
415,2710573,4.8
416,2710574,2.8
417,2710578,5.9
418,2710585,5.2
419,2710597,3.2
420,2710654,7.1
