,movie_id,mpaa
179,2753050,"Rated R for disturbing bloody violence, and language"
180,2753115,"Rated R for pervasive language, some violence and drug use"
181,2753721,Rated PG-13 for some thematic elements and frightening images
182,2753730,Rated R for some language
183,2753873,Rated PG-13 for sci-fi action violence and some disturbing images
184,2754248,"Rated R for some violence, sexuality and brief drug use"
185,2754277,Rated R for language and some sexual content
186,2754482,"Rated PG-13 for mature thematic material involving abortion, and brief strong language"
187,2754667,"Rated R for violence, pervasive language and some sexual content"
188,2754721,"Rated R for strong sometimes graphic sexual content, language and some drug use"
189,2754775,"Rated R for strong bloody violence including rape, language, drug content and some nudity"
190,2754814,Rated R for language and some violent content
191,2755052,"Rated PG for thematic material involving peril and hardships, and for language"
192,2755072,Rated PG for perilous situations
193,2755303,Rated PG-13 for some violence
194,2756909,Rated R for some language
195,2757409,Rated R for some violence
196,2757516,"Rated PG-13 for some violence, language and sexual references"
197,2760495,"Rated R for language, brief violence and nudity"
198,2760927,"Rated R for some sexuality, brief nudity and language"
199,2761583,"Rated PG-13 for violence including disturbing images, sexual content, language, drug references, and nudity"
200,2761632,"Rated R for language including sexual references, and some drug use"
201,2761698,Rated PG for rude humor including some reckless behavior and language
202,2762855,Rated PG for fantasy action/peril and some language
203,2763024,"Rated R for some disturbing violent images and gore, and language"
204,2763078,Rated R for language and violence
205,2764242,"Rated R for language and drug use throughout, violence, some nudity and sexuality"
206,2764691,Rated R for language and brief nudity
207,2764708,Rated PG-13 for brief strong language
208,2765120,"Rated PG-13 for some drug material, language and suggestive content"
209,2765240,Rated PG for mild language and a brief scuffle
210,2765658,"Rated R for language and smoking throughout, drug use and some sexuality/graphic nudity"
211,2765684,"Rated R for language, sexual references and some drug use"
212,2766357,"Rated PG-13 for intense violence and action, thematic elements, and some partial nudity"
213,2767395,"Rated PG-13 for suggestive material, drug content and language"
214,2767629,Rated R for language and some sexuality
215,2767641,Rated PG-13 for some language including suggestive comments.
216,2768043,Rated PG-13 for violence
217,2768154,"Rated PG-13 for some sexual references, violence and drug content"
218,2768474,Rated PG for mild peril and some language
219,2768791,"Rated R for drug use, brief sexuality, language and violence"
220,2768853,"Rated R for horror violence, language and some sexual content"
221,2769160,Rated PG for some mild rude humor
222,2769377,Rated R for some violence.
223,2770179,Rated R for some language and a scene of sexuality
224,2771027,Rated R for some disturbing content and sexual references
